,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle
0,Wednesday,16 December 2015,7.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Origins of Extreme Events in the Geospace,Oral,1.0,8.0
1,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Cryosphere,Glacier-Ocean Interactions,Poster,0.0,17.0
2,Wednesday,16 December 2015,6.0,Moscone West,2010,1634.0,Paleoceanography and Paleoclimatology,New Insights on Geochemical Cycles toward Redox Proxy Development and Application to the Ancient Ocean and Atmosphere,Oral,0.0,15.0
3,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Global Environmental Change,Taking the Temperature of the Earth,Poster,0.0,5.0
4,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Geochemical and Geophysical Links between Subduction Zone Dynamics and Arc Systems,Poster,0.0,11.0
5,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Seismology,Seismology Contributions,Poster,0.0,18.0
6,Monday,14 December 2015,2.0,Moscone South,Poster Hall,0.0,Paleoceanography and Paleoclimatology,Limnogeology and Paleolimnology,Poster,0.0,13.0
7,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Hydrology,"Microorganisms, Colloids, Engineered Nanoparticles, and Emerging Contaminants in the Environment",Poster,0.0,16.0
8,Thursday,17 December 2015,2.0,Moscone West,3010,0.0,Atmospheric Sciences,Mechanisms of Anthropogenic Aerosol Forcing on Regional Climate Variability and Change,Oral,1.0,13.0
9,Thursday,17 December 2015,4.0,Moscone South,Poster Hall,0.0,Hydrology,Advances in Hydroclimatology and Climate Change,Poster,0.0,15.0
10,Wednesday,16 December 2015,9.0,Moscone West,3011,0.0,Hydrology,The Hydrology–Vegetation–Climate Nexus,Oral,0.0,1.0
11,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Education,Sharing Best Practices and Effective Models for Program Evaluation and Demonstrating the Impact of Your Education and Public Outreach Programs,Poster,0.0,17.0
12,Monday,14 December 2015,2.0,Moscone West,3012,0.0,Atmospheric Sciences,Evaluating Reanalysis,Oral,0.0,11.0
13,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Public Affairs,Conflict Ecology and the Environment-Conflict Nexus,Poster,1.0,13.0
14,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Biogeosciences,Urban Areas and Global Change,Poster,0.0,12.0
15,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Ocean Sciences,Fluid Migration and Gas Hydrate Systems in Continental Margins,Poster,0.0,12.0
16,Wednesday,16 December 2015,7.0,Moscone South,Poster Hall,0.0,Atmospheric and Space Electricity,Energetic Radiation from Lightning and Thunderstorms,Poster,0.0,11.0
18,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,Cryosphere,"Dust, Black Carbon, and Other Aerosols in the Cryosphere",Poster,0.0,13.0
19,Tuesday,15 December 2015,1.0,Moscone West,2007,0.0,Planetary Sciences,Earth Analogues as Case Studies for Martian Geological Materials and Processes,Oral,0.0,4.0
20,Friday,18 December 2015,8.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,"Ions, Waves, Magnetic Fields, and Cosmic Rays at the Heliopause",Oral,1.0,8.0
21,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,Biogeosciences,Quantifying Biogeochemical Sources and Transformations in Estuaries and Deltas,Poster,0.0,13.0
22,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Seismology,Advances in Understanding Slow Slip and Transitional Regions,Poster,0.0,11.0
23,Tuesday,15 December 2015,2.0,Moscone West,3002,0.0,Union,FRONTIERS IN GEOSYSTEMS,Oral,0.0,14.0
24,Monday,14 December 2015,5.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology","Geology, Geophysics, Geochemistry, and Biology of Serpentinization Processes on Earth and Other Planets",Poster,0.0,15.0
25,Tuesday,15 December 2015,1.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Planetary Atmospheres and Their Evolution,Poster,0.0,11.0
26,Monday,14 December 2015,8.0,Moscone West,3010,0.0,Atmospheric Sciences,Air Quality Research,Oral,1.0,13.0
27,Monday,14 December 2015,4.0,Moscone South,300,0.0,Geomagnetism and Paleomagnetism,Reconstructing the Secular Variation of the Earth's Magnetic Field in the Past,Oral,1.0,12.0
28,Friday,18 December 2015,19.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Solar and Heliospheric Physics General Contributions Sun and Corona,Oral,1.0,8.0
29,Friday,18 December 2015,2.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Fluvial Morphodynamics,Oral,0.0,10.0
31,Friday,18 December 2015,4.0,Moscone West,3006,0.0,Atmospheric Sciences,Tropical and Midlatitude Convective Storm Systems and Their Roles in Weather and Climate,Oral,1.0,13.0
32,Monday,14 December 2015,2.0,Moscone West,3010,0.0,Atmospheric Sciences,Air Quality Research,Oral,1.0,12.0
33,Monday,14 December 2015,4.0,Moscone West,2011,0.0,SPA-Solar and Heliospheric Physics,Fundamental Physics of the Solar Corona and Inner Heliosphere,Oral,1.0,16.0
34,Tuesday,15 December 2015,3.0,Moscone South,Poster Hall,0.0,Hydrology,Environmental Vadose Zone Hydrology,Poster,0.0,14.0
35,Friday,18 December 2015,3.0,Moscone West,3016,0.0,Hydrology,Modeling the Critical Zone,Oral,0.0,6.0
36,Friday,18 December 2015,4.0,Moscone West,3024,0.0,Near Surface Geophysics,Geophysical Methods for Groundwater Evaluation and Management,Oral,1.0,14.0
37,Tuesday,15 December 2015,7.0,Moscone West,2009,0.0,Planetary Sciences,"Evolutions, Interactions, and Origins of Outer Planet Satellites",Oral,1.0,9.0
38,Tuesday,15 December 2015,22.0,Moscone West,3008,0.0,Atmospheric Sciences,"Aerosols, Clouds, Precipitation,Â Trace Gas Chemistry, Meteorology, and Their Complex Interactions in Amazonia",Oral,0.0,20.0
39,Monday,14 December 2015,5.0,Moscone West,3001,0.0,Atmospheric and Space Electricity,The Meteorology and Climatology of Lightning,Oral,1.0,8.0
41,Friday,18 December 2015,3.0,Moscone South,Poster Hall,0.0,Earth and Planetary Surface Processes,Earth and Planetary Surface Processes,Poster,0.0,17.0
42,Wednesday,16 December 2015,3.0,Moscone South,Poster Hall,0.0,Education,Education General Contributions,Poster,0.0,10.0
43,Friday,18 December 2015,2.0,Moscone West,3011,0.0,Hydrology,Integrated Large-Scale Observations and Experiments,Oral,1.0,15.0
44,Wednesday,16 December 2015,8.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Moon-Plasma Interactions throughout the Solar System,Poster,0.0,10.0
47,Monday,14 December 2015,8.0,Moscone West,3014,0.0,Paleoceanography and Paleoclimatology,Sea Levels and Ice Sheets during Past Warm Periods,Poster,1.0,18.0
48,Tuesday,15 December 2015,3.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Coastal Geomorphology and Morphodynamics,Oral,0.0,5.0
49,Monday,14 December 2015,7.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Arctic Tropospheric Composition,Poster,0.0,12.0
50,Tuesday,15 December 2015,1.0,Moscone West,2005,0.0,Earth and Planetary Surface Processes,Coastal Geomorphology and Morphodynamics,Oral,1.0,12.0
51,Friday,18 December 2015,10.0,Moscone South,307,0.0,Seismology,Quantifying Volcanic Processes Using Seismic and Acoustic Wavefields,Oral,1.0,12.0
52,Monday,14 December 2015,1.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,The Role of Electron Thermodynamics for the Multiscale Evolution of the Solar Wind,Poster,1.0,11.0
53,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Seismology,Advances in Understanding Slow Slip and Transitional Regions,Poster,0.0,12.0
54,Friday,18 December 2015,2.0,Moscone South,Poster Hall,0.0,Education,Sharing Best Practices and Effective Models for Program Evaluation and Demonstrating the Impact of Your Education and Public Outreach Programs,Poster,0.0,10.0
55,Wednesday,16 December 2015,2.0,Moscone South,Poster Hall,0.0,Natural Hazards,Geological Records and Modeling of Tsunamis and Storms for Natural Hazard Assessment,Poster,0.0,13.0
58,Friday,18 December 2015,12.0,Moscone West,2009,0.0,Planetary Sciences,Using Current Chemistry and Mineralogy Data to Guide Future Discoveries from Mars 2020,Oral,0.0,9.0
59,Wednesday,16 December 2015,1.0,Moscone South,306,0.0,Tectonophysics,Cumulative Deformation in the Overlying Plate due to Subduction and Related Feedbacks,Poster,1.0,18.0
60,Friday,18 December 2015,8.0,Moscone West,2009,0.0,SPA-Magnetospheric Physics,Synergistic Studies of Global and Kinetic Magnetospheric Processes using Multipoint Space and Ground Assets,Oral,1.0,12.0
