,day,date,nb_authors,place,room,ref,section,session,pres,invited,lentitle,year
0,Wednesday,17 December 2014,6.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology","Stow or Blow? Magma Embryos, Plutons, and Eruptions",Poster,0.0,1.0,2014
1,Monday,15 December 2014,5.0,Moscone South,Poster Hall,0.0,SPA-Solar and Heliospheric Physics,Riddles of the Ribbon,Poster,0.0,1.0,2014
3,Friday,19 December 2014,3.0,Moscone South,Poster Hall,0.0,Planetary Sciences,Current Processes in the Atmosphere of Mars,Poster,0.0,1.0,2014
4,Monday,15 December 2014,2.0,Moscone South,Poster Hall,0.0,Seismology,Seismology Contributions,Poster,0.0,1.0,2014
5,Tuesday,16 December 2014,6.0,Moscone West,Poster Hall,0.0,Ocean Sciences,Ocean Sciences General Contributions,Poster,0.0,1.0,2014
6,Friday,19 December 2014,4.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Physical Petrology,Poster,0.0,1.0,2014
7,Wednesday,17 December 2014,2.0,Moscone West,2006,0.0,Biogeosciences,"Variations in Aquatic Biogeochemical, Hydrological, and Ecosystem Functional Responses to Anthropogenic Changes",Oral,0.0,1.0,2014
8,Tuesday,16 December 2014,1.0,Moscone West,Poster Hall,0.0,Ocean Sciences,Marine Microbial Genomics,Poster,0.0,1.0,2014
9,Wednesday,17 December 2014,2.0,Moscone South,Poster Hall,0.0,SPA-Magnetospheric Physics,Addressing Operational Space Weather Needs,Poster,0.0,1.0,2014
10,Monday,15 December 2014,3.0,Moscone West,2020,0.0,Earth and Space Science Informatics,"Space-Based, Operational Global Earth Observations from S-NPP and JPSS",Oral,0.0,1.0,2014
11,Thursday,18 December 2014,3.0,Moscone West,Poster Hall,0.0,Hydrology,Recent Advances in Groundwater Hydrology,Poster,0.0,1.0,2014
12,Wednesday,17 December 2014,4.0,Moscone South,Poster Hall,0.0,"Volcanology, Geochemistry and Petrology",Accelerated and Punctuated,Poster,0.0,1.0,2014
13,Thursday,18 December 2014,3.0,Moscone West,Not an Option,0.0,Cryosphere,"Recent Advances in Monitoring, Measuring, and Modeling Snow Processes",Poster,0.0,1.0,2014
14,Thursday,18 December 2014,2.0,Moscone West,2009,0.0,Union,Long-Term In Situ Data Networks,Oral,0.0,1.0,2014
15,Wednesday,17 December 2014,8.0,Moscone West,2018,0.0,SPA-Magnetospheric Physics,Incorporating Plasma Waves in Models of the Radiation Belts and Ring Current,Poster,0.0,1.0,2014
17,Wednesday,17 December 2014,4.0,Moscone West,Poster Hall,0.0,Ocean Sciences,New Perspectives on Seafloor Morphology from High-Resolution Ocean Mapping,Poster,0.0,1.0,2014
18,Monday,15 December 2014,2.0,Moscone West,2003,0.0,Earth and Planetary Surface Processes,Signal Propagation and Preservation,Oral,0.0,1.0,2014
19,Tuesday,16 December 2014,11.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Nanosatellite Atmospheric Sensors,Poster,0.0,1.0,2014
23,Tuesday,16 December 2014,4.0,Moscone West,Poster Hall,0.0,Biogeosciences,Soil Organic Matter Dynamics,Poster,0.0,1.0,2014
24,Tuesday,16 December 2014,5.0,Moscone West,Poster Hall,0.0,Global Environmental Change,Linking Human and Environmental Change,Poster,0.0,1.0,2014
25,Tuesday,16 December 2014,6.0,Moscone South,Poster Hall,0.0,Study of Earth's Deep Interior,Mantle Flow,Poster,0.0,1.0,2014
26,Monday,15 December 2014,4.0,Moscone South,Poster Hall,0.0,Atmospheric Sciences,Physics of Climate Models,Poster,0.0,1.0,2014
28,Tuesday,16 December 2014,3.0,Moscone West,Poster Hall,0.0,Biogeosciences,Soil Organic Matter Dynamics,Poster,0.0,1.0,2014
30,Wednesday,17 December 2014,1.0,Moscone South,Poster Hall,0.0,Mineral and Rock Physics,Planetary Materials,Poster,0.0,1.0,2014
